GeneName	GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NFIL3	ENSG00000165030	657.1794419	-1.52982807	0.180596519	-8.470972081	2.43E-17	1.42E-15
TMEM268	ENSG00000157693	1461.157225	-1.529120392	0.118945829	-12.85560327	8.00E-38	3.11E-35
ISL2	ENSG00000159556	243.5571813	-1.525081866	0.239316156	-6.372665728	1.86E-10	3.83E-09
TSC22D3	ENSG00000157514	15900.59294	-1.522020424	0.094007876	-16.19035008	5.90E-59	1.02E-55
NRL	ENSG00000129535	33.8830754	-1.51523458	0.493316671	-3.071525189	0.002129682	0.008136034
CENPM	ENSG00000100162	1026.77414	-1.512970851	0.175310119	-8.630253993	6.12E-18	3.98E-16
STC2	ENSG00000113739	28095.87506	-1.512774882	0.162115749	-9.331449258	1.04E-20	9.49E-19
HEY1	ENSG00000164683	124.6377904	-1.511258629	0.331122581	-4.564045812	5.02E-06	4.07E-05
MYBL2	ENSG00000101057	7755.167185	-1.510607528	0.150986068	-10.00494647	1.45E-23	1.60E-21
MTHFD1L	ENSG00000120254	3688.071611	-1.50892625	0.148167891	-10.18389502	2.34E-24	2.84E-22
AEN	ENSG00000181026	2220.459844	-1.503100434	0.115442735	-13.0203121	9.38E-39	3.84E-36
AC135977.1	ENSG00000226268	34.61142831	-1.49945216	0.495188228	-3.028044844	0.002461416	0.009169812
LEAP2	ENSG00000164406	48.87412234	-1.491519399	0.433232115	-3.442772008	0.000575785	0.002615688
AC010186.3	ENSG00000257027	59.39779875	-1.482542451	0.357300575	-4.149286491	3.34E-05	0.000217049
AC099522.2	ENSG00000272525	35.69224826	-1.479042324	0.476029614	-3.10703847	0.001889718	0.007353057
AC010331.1	ENSG00000277383	31.46992963	-1.457394163	0.556949976	-2.616741584	0.008877352	0.027357313
HIST1H2AG	ENSG00000196787	78.33718534	-1.452771747	0.344087407	-4.222100887	2.42E-05	0.000163329
AL136162.1	ENSG00000271888	24.93330736	-1.444694348	0.593964996	-2.4322887	0.015003743	0.04263543
SLC1A5	ENSG00000105281	27594.82881	-1.439893894	0.081186767	-17.73557385	2.23E-70	6.93E-67
FOXM1	ENSG00000111206	7370.239183	-1.436732057	0.145996936	-9.840837046	7.51E-23	7.68E-21
AC139530.1	ENSG00000262049	353.033348	-1.427921193	0.178672414	-7.991839131	1.33E-15	6.11E-14
CNTRL	ENSG00000119397	1178.099072	-1.426885331	0.118968997	-11.99375772	3.83E-33	1.03E-30
RPS6KA5	ENSG00000100784	72.71286923	-1.41915959	0.353890121	-4.010170121	6.07E-05	0.000366764
DDIT4	ENSG00000168209	48981.66183	-1.418434895	0.280428997	-5.058089242	4.23E-07	4.46E-06
UBE2SP1	ENSG00000233966	107.9936177	-1.416661484	0.301831472	-4.693551249	2.69E-06	2.33E-05
AC107959.3	ENSG00000253616	28.8704458	-1.411156333	0.535090861	-2.637227497	0.008358675	0.0260325
PER2	ENSG00000132326	532.1447741	-1.410671867	0.195167785	-7.227995481	4.90E-13	1.58E-11
SKA1	ENSG00000154839	1212.198067	-1.40956799	0.137736045	-10.23383526	1.40E-24	1.75E-22
CENPA	ENSG00000115163	1209.862624	-1.400776066	0.140921584	-9.94011014	2.79E-23	2.99E-21
PHGDH	ENSG00000092621	7202.95924	-1.398448307	0.109689027	-12.74920873	3.15E-37	1.14E-34
ZCCHC8	ENSG00000033030	2082.429831	-1.396877608	0.108811761	-12.83756085	1.01E-37	3.83E-35
GRPEL2	ENSG00000164284	2119.081236	-1.389617552	0.127846324	-10.86943693	1.61E-27	2.66E-25
C2orf48	ENSG00000163009	24.20553802	-1.367186297	0.572500348	-2.388096882	0.016935877	0.047414963
CCL20	ENSG00000115009	61.31436725	-1.365396763	0.529158062	-2.580319308	0.0098709	0.029847434
AC027612.3	ENSG00000232531	39.5027235	-1.36501373	0.444255619	-3.072586306	0.002122125	0.008121889
FAM72D	ENSG00000215784	130.625415	-1.360105641	0.285871794	-4.757746894	1.96E-06	1.76E-05
NEK2	ENSG00000117650	1370.532013	-1.35536633	0.120108132	-11.28455087	1.56E-29	3.42E-27
PTX3	ENSG00000163661	7275.738473	-1.337427673	0.17313878	-7.724599168	1.12E-14	4.48E-13
AC135507.1	ENSG00000272182	37.34922717	-1.336920551	0.471178523	-2.837397052	0.004548301	0.015569416
SLC1A4	ENSG00000115902	1658.344329	-1.335842509	0.125212747	-10.66858238	1.43E-26	2.18E-24
GATA6	ENSG00000141448	1314.132619	-1.330124856	0.113148067	-11.75561272	6.61E-32	1.66E-29
SKA3	ENSG00000165480	1518.393913	-1.324957902	0.153434839	-8.635313258	5.86E-18	3.84E-16
FOS	ENSG00000170345	37.98787986	-1.324597112	0.451553091	-2.933424968	0.003352447	0.012024088
AC018413.1	ENSG00000265778	56.03863407	-1.323540355	0.390198025	-3.391970926	0.000693918	0.003088253
DLEU2	ENSG00000231607	302.2499148	-1.32284407	0.187575651	-7.052322976	1.76E-12	5.13E-11
UBALD2	ENSG00000185262	2424.617193	-1.321978361	0.145530709	-9.083844677	1.05E-19	8.66E-18
AC069544.1	ENSG00000272853	46.00288621	-1.315352853	0.427557404	-3.076435677	0.002094915	0.008032833
ELMOD1	ENSG00000110675	242.43744	-1.312974338	0.224582029	-5.84630189	5.03E-09	7.88E-08
DUSP5	ENSG00000138166	6021.628043	-1.309473077	0.171228499	-7.647518286	2.05E-14	7.96E-13
APOBEC3B	ENSG00000179750	1185.430091	-1.309459276	0.185965435	-7.041412179	1.90E-12	5.47E-11
CDC42EP1	ENSG00000128283	9382.765003	-1.309207829	0.11801626	-11.09345297	1.35E-28	2.56E-26
PRIM1	ENSG00000198056	1048.764633	-1.307649734	0.175686541	-7.443084304	9.84E-14	3.54E-12
ST7-AS1	ENSG00000227199	172.1925165	-1.307471331	0.262386568	-4.982996434	6.26E-07	6.31E-06
MTHFD2	ENSG00000065911	17524.35395	-1.303357893	0.093603214	-13.92428565	4.51E-44	2.42E-41
C19orf73	ENSG00000221916	57.46213645	-1.303043393	0.416072954	-3.131766632	0.001737579	0.006841581
NGF	ENSG00000134259	142.1773628	-1.302812795	0.328542609	-3.965430237	7.33E-05	0.000433089
AC073136.1	ENSG00000223559	103.9655963	-1.302300962	0.294448551	-4.422847249	9.74E-06	7.31E-05
IQGAP3	ENSG00000183856	4592.465729	-1.300336364	0.130240184	-9.984141016	1.79E-23	1.94E-21
SLC7A11-AS1	ENSG00000250033	39.47822882	-1.299823876	0.516547861	-2.516366777	0.011857172	0.034913283
FOXC2	ENSG00000176692	4233.676628	-1.294675894	0.104738176	-12.36106965	4.24E-35	1.32E-32
LINC01144	ENSG00000281912	27.1296314	-1.290123863	0.539659808	-2.390624325	0.016819753	0.047135578
KCNG1	ENSG00000026559	4179.190484	-1.289824185	0.144267806	-8.940485178	3.87E-19	2.97E-17
AC103706.1	ENSG00000261220	29.99895979	-1.289228078	0.525019616	-2.455580778	0.014065714	0.040361015
CKAP2L	ENSG00000169607	2516.130995	-1.288080491	0.116992311	-11.00995856	3.42E-28	6.18E-26
TSSK6	ENSG00000178093	93.50217938	-1.287973735	0.312507137	-4.121421819	3.77E-05	0.000241512
SLC7A5	ENSG00000103257	60162.58027	-1.28777633	0.096563613	-13.33604125	1.43E-40	6.17E-38
CNOT6LP1	ENSG00000230183	166.3877271	-1.280752618	0.299608509	-4.274753816	1.91E-05	0.000133173
TXNIP	ENSG00000265972	14124.6215	-1.277663948	0.346219481	-3.690329452	0.000223964	0.001144941
THOC6	ENSG00000131652	1903.835531	-1.269262204	0.124141045	-10.22435571	1.54E-24	1.92E-22
AC144652.1	ENSG00000273117	140.6016034	-1.26661665	0.267366632	-4.737377431	2.17E-06	1.93E-05
LINC00900	ENSG00000246100	49.00803127	-1.265767627	0.423995411	-2.98533332	0.002832695	0.01037542
DDIT4-AS1	ENSG00000269926	149.9538009	-1.264410468	0.291161663	-4.342640631	1.41E-05	0.00010129
RRM2	ENSG00000171848	11577.75113	-1.262140295	0.347358018	-3.633543004	0.000279556	0.00139082
KMT5A	ENSG00000183955	3080.264565	-1.261080959	0.095080928	-13.26323781	3.78E-40	1.59E-37
GTSE1-AS1	ENSG00000277232	39.81266017	-1.259684007	0.474573555	-2.654349349	0.007946151	0.024988089
ATF4P3	ENSG00000228218	31.23354112	-1.253062922	0.529902316	-2.364705502	0.018044413	0.049996118
ZBTB2	ENSG00000181472	1769.359724	-1.252677635	0.110734216	-11.31247125	1.14E-29	2.53E-27
GPC6	ENSG00000183098	37.48299665	-1.251774373	0.508131888	-2.463483209	0.013759434	0.039628496
F2RL3	ENSG00000127533	180.5797801	-1.251164832	0.345592948	-3.620342481	0.000294213	0.001454779
COBLL1	ENSG00000082438	453.2161327	-1.24588104	0.163549358	-7.617767839	2.58E-14	9.83E-13
AL358942.1	ENSG00000225580	38.78826008	-1.245495784	0.449781955	-2.769110167	0.005620963	0.018590206
UHRF1BP1	ENSG00000065060	3467.340749	-1.243438787	0.097819755	-12.71153041	5.10E-37	1.80E-34
LINC00235	ENSG00000277142	94.79327765	-1.24249765	0.319641488	-3.887160135	0.000101424	0.000573382
NEIL3	ENSG00000109674	573.6858052	-1.230576984	0.203039576	-6.06077401	1.35E-09	2.37E-08
FGFBP3	ENSG00000174721	70.43842801	-1.230516987	0.347699056	-3.539028845	0.000401602	0.00190807
CDCA3	ENSG00000111665	2019.203479	-1.230165435	0.137586775	-8.941015148	3.86E-19	2.97E-17
INSC	ENSG00000188487	659.552842	-1.227094897	0.150239651	-8.167583531	3.15E-16	1.60E-14
EVI2A	ENSG00000126860	230.2454777	-1.226708299	0.235021106	-5.219566529	1.79E-07	2.04E-06
SIAH2	ENSG00000181788	2357.717535	-1.225471356	0.11237138	-10.90554695	1.08E-27	1.81E-25
BIRC3	ENSG00000023445	5604.233645	-1.224950357	0.137462104	-8.911185857	5.05E-19	3.83E-17
AC092171.3	ENSG00000234432	50.29517462	-1.22471726	0.410545124	-2.983148957	0.002852991	0.010442377
HIRIP3	ENSG00000149929	2102.741404	-1.223970712	0.107044699	-11.43420204	2.82E-30	6.35E-28
BIRC5	ENSG00000089685	6177.850895	-1.217733175	0.139447003	-8.732587637	2.49E-18	1.73E-16
SLC25A21-AS1	ENSG00000258708	129.8311407	-1.215497958	0.258506158	-4.702007747	2.58E-06	2.25E-05
FOXA2	ENSG00000125798	262.6285712	-1.213656393	0.200339071	-6.058011474	1.38E-09	2.39E-08
AL031985.3	ENSG00000260920	197.2822649	-1.209225611	0.218560866	-5.532672135	3.15E-08	4.21E-07
ENTPD2	ENSG00000054179	54.63523033	-1.207265058	0.4091101	-2.950953932	0.003167942	0.011452194
LNP1	ENSG00000206535	93.94075738	-1.207103803	0.300361831	-4.018832219	5.85E-05	0.000355476
RAB11FIP2	ENSG00000107560	2280.870531	-1.207027685	0.131580265	-9.173318523	4.59E-20	3.92E-18
IER2	ENSG00000160888	4314.855234	-1.204739025	0.123048514	-9.790764488	1.23E-22	1.24E-20
ARL4A	ENSG00000122644	670.7709996	-1.204239458	0.152737425	-7.884377135	3.16E-15	1.36E-13
NAGS	ENSG00000161653	116.6555614	-1.203068801	0.282096752	-4.264738222	2.00E-05	0.000138421
NR1D1	ENSG00000126368	729.8979832	-1.201103241	0.196605261	-6.109212109	1.00E-09	1.79E-08
KIF4A	ENSG00000090889	2729.25639	-1.200109847	0.112957159	-10.62446907	2.29E-26	3.39E-24
CENPH	ENSG00000153044	2171.360675	-1.199807211	0.142042863	-8.446796847	2.99E-17	1.72E-15
LMO4	ENSG00000143013	2073.831242	-1.197482014	0.112289663	-10.66422311	1.50E-26	2.26E-24
PTTG1	ENSG00000164611	2772.372161	-1.19514586	0.131770767	-9.069886201	1.19E-19	9.69E-18
KIF2C	ENSG00000142945	3410.036848	-1.19368746	0.111988258	-10.65904121	1.58E-26	2.36E-24
KIF15	ENSG00000163808	1844.498343	-1.191192397	0.109918865	-10.83701507	2.30E-27	3.72E-25
AC026401.3	ENSG00000280206	230.6269263	-1.185177098	0.204333827	-5.800200183	6.62E-09	1.02E-07
MAK16	ENSG00000198042	3170.620255	-1.183465219	0.105495528	-11.21815537	3.32E-29	6.70E-27
TMEM79	ENSG00000163472	289.4864225	-1.183306127	0.186102276	-6.358364634	2.04E-10	4.15E-09
AL133367.1	ENSG00000260285	64.34525298	-1.1806067	0.378579044	-3.118521004	0.001817612	0.007111658
AC008163.1	ENSG00000233491	154.1340995	-1.174781048	0.269604001	-4.357431796	1.32E-05	9.57E-05
SLC7A11	ENSG00000151012	23617.98042	-1.172740195	0.150604774	-7.786872651	6.87E-15	2.82E-13
NR2C2AP	ENSG00000184162	925.1714395	-1.166394801	0.132617912	-8.795152789	1.43E-18	1.02E-16
METTL12	ENSG00000214756	663.0224531	-1.165744648	0.150122827	-7.765272431	8.15E-15	3.31E-13
AC099343.3	ENSG00000271646	196.3443327	-1.165360784	0.239353045	-4.868794485	1.12E-06	1.07E-05
PLA2G4A	ENSG00000116711	44.10601844	-1.164899054	0.437054452	-2.665340778	0.007691034	0.024323639
SLC7A1	ENSG00000139514	15267.10465	-1.162154811	0.083297146	-13.95191626	3.06E-44	1.70E-41
C17orf51	ENSG00000212719	752.15124	-1.159127156	0.158935246	-7.293078045	3.03E-13	1.01E-11
CCNB2	ENSG00000157456	3398.882619	-1.157118868	0.115181994	-10.04600487	9.57E-24	1.06E-21
SOCS2	ENSG00000120833	541.4134835	-1.155413737	0.145645332	-7.933063994	2.14E-15	9.52E-14
MKI67	ENSG00000148773	23631.02438	-1.154107429	0.127134474	-9.07784797	1.11E-19	9.06E-18
NRGN	ENSG00000154146	243.7802329	-1.153398092	0.309797979	-3.723065253	0.000196819	0.001018568
DHFRP1	ENSG00000188985	339.0344467	-1.152145416	0.271384983	-4.245428037	2.18E-05	0.000149031
STAMBPL1	ENSG00000138134	1118.538427	-1.149921845	0.11828408	-9.72169579	2.44E-22	2.40E-20
NUF2	ENSG00000143228	1342.020204	-1.149107863	0.141419692	-8.125515247	4.45E-16	2.20E-14
VEGFA	ENSG00000112715	12096.78713	-1.148563049	0.124930941	-9.193583598	3.80E-20	3.28E-18
ZBTB14	ENSG00000198081	604.969495	-1.14549721	0.140956192	-8.126618568	4.41E-16	2.19E-14
RRP12	ENSG00000052749	5699.937361	-1.14521733	0.088321695	-12.96643292	1.90E-38	7.56E-36
XBP1	ENSG00000100219	11378.80832	-1.145138506	0.108540376	-10.55034586	5.06E-26	7.35E-24
XIRP2	ENSG00000163092	55.129463	-1.145083201	0.475900427	-2.406140311	0.016122071	0.045439447
RAP1GAP2	ENSG00000132359	766.762281	-1.144579424	0.167980316	-6.813771111	9.51E-12	2.42E-10
HEIH	ENSG00000278970	953.1687903	-1.142895103	0.155022285	-7.372456837	1.68E-13	5.79E-12
GTPBP2	ENSG00000172432	6959.691098	-1.139339004	0.136667535	-8.336573892	7.65E-17	4.26E-15
EXPH5	ENSG00000110723	150.8091479	-1.136953566	0.359985617	-3.158330537	0.001586755	0.006332759
ATF4	ENSG00000128272	21898.93108	-1.135899165	0.10181717	-11.15626336	6.67E-29	1.33E-26
NCAPD2	ENSG00000010292	12060.81681	-1.134084343	0.149557678	-7.582922888	3.38E-14	1.28E-12
FOSL1	ENSG00000175592	8321.905945	-1.130230601	0.139130127	-8.123550427	4.53E-16	2.23E-14
ALKBH8	ENSG00000137760	2170.245844	-1.125963575	0.111415701	-10.10596857	5.20E-24	5.98E-22
CCNB3	ENSG00000147082	911.5145124	-1.125394344	0.149362709	-7.534640681	4.90E-14	1.81E-12
KIF20A	ENSG00000112984	4273.596551	-1.124161797	0.330663477	-3.399715643	0.00067456	0.003008993
ZNF674	ENSG00000251192	263.7514263	-1.122407259	0.213848442	-5.248610872	1.53E-07	1.78E-06
TROAP	ENSG00000135451	1985.367174	-1.122307803	0.13006595	-8.628759516	6.20E-18	4.02E-16
HMGB2	ENSG00000164104	9858.213806	-1.121558273	0.103900064	-10.79458697	3.65E-27	5.79E-25
CRYM-AS1	ENSG00000189149	55.2220109	-1.120253328	0.391619457	-2.860566061	0.004228854	0.014656696
MSL2	ENSG00000174579	1843.356417	-1.118854313	0.099260851	-11.27185893	1.81E-29	3.90E-27
ZNF773	ENSG00000152439	472.0696705	-1.116602651	0.18430541	-6.058436636	1.37E-09	2.39E-08
