Partner,t_value,p_value
B4GALT7,-4.34087,1.78E-05
NUAK2,-4.19471,3.34E-05
KCNA5,3.0934,0.00211188
CD4,2.84967,0.00459347
MYH6,-2.73305,0.00654209
MYH9,-2.69907,0.00723589
FBRSL1,4.34736,1.73E-05
FERMT3,3.32802,0.000952289
PHF20L1,2.7096,0.00701421
NDUFAF1,2.87169,0.00429104
SH3GLB1,-4.12328,4.51E-05
MANBAL,-4.6522,4.42E-06
METTL9,3.27852,0.00113098
RDH11,-3.01739,0.00270588
GCNT2,-2.93861,0.00347999
DNAH1,3.27211,0.00115628
UQCC3,-2.68607,0.00751864
AHNAK2,-4.5122,8.36E-06
ATP8A1,3.80195,0.000164989
MYL9,-3.01346,0.00274035
C14orf119,-2.8199,0.00503307
CENPJ,2.67938,0.00766791
CAND1,4.02599,6.74E-05
TGFB2,-4.29515,2.17E-05
PHLDB2,-5.65544,2.89E-08
STX4,-3.22601,0.00135425
KMT2B,4.13816,4.24E-05
SNPH,-2.85968,0.00445372
NPC2,-3.2122,0.00141937
FJX1,-2.97175,0.00313257
PANX1,-3.10543,0.00202974
FTSJ1,-2.81105,0.00517087
LAMP5,3.11483,0.00196757
ZNF318,2.96137,0.00323781
SPDL1,-2.62123,0.00908152
BCL10,-3.32698,0.000955766
ASXL3,3.37546,0.000805977
ZNF436,-3.02598,0.00263178
LAX1,4.36481,1.61E-05
OLFML2A,-3.57253,0.000394819
TXNDC16,3.20926,0.00143361
MGC27345,3.46075,0.000594246
DNA2,2.84998,0.00458902
DNAH5,-3.21855,0.00138906
PSRC1,-2.71374,0.00692871
GPR65,2.70022,0.00721148
CYP1A1,-2.72408,0.00671919
CYLD,3.21527,0.00140466
ZNF547,2.77237,0.00581447
NOL4,3.14025,0.0018082
ALG12,-2.93023,0.00357319
C15orf52,-4.6918,3.68E-06
ARHGAP30,4.1707,3.70E-05
ZNF708,3.05916,0.00236279
SLFN12,-2.87129,0.00429639
ADAMTS15,-3.22449,0.00136128
GLT1D1,2.87139,0.00429504
ADGRL2,-2.66107,0.00809003
NUAK1,-3.90063,0.000111806
LIN54,4.41749,1.27E-05
MCF2L,2.87039,0.00430844
DNMBP,-2.79642,0.00540623
MGA,2.72659,0.00666922
TSPOAP1,4.08938,5.19E-05
AQP9,3.11816,0.00194595
YIF1B,-3.06019,0.00235486
AIMP1,3.8977,0.00011312
STAT5A,4.20262,3.23E-05
STAT5B,4.07741,5.46E-05
SLC38A5,4.54808,7.11E-06
REV3L,2.80494,0.00526808
USP3,2.79271,0.00546754
PCDHGA9,-2.70513,0.0071075
RFC1,3.28067,0.00112263
SPATC1L,3.29255,0.00107741
SCYL1,-3.10453,0.00203575
SLC37A2,-2.63924,0.00862064
SBNO1,4.86085,1.66E-06
ITGAL,4.4207,1.26E-05
ITGAV,-4.07017,5.62E-05
FUCA2,-3.05344,0.00240729
FAM65A,-2.88427,0.00412653
LRRTM2,2.85799,0.00447692
CASD1,2.72527,0.00669542
PRDX1,-2.75661,0.00609669
HBS1L,3.5457,0.000435959
PLK2,-5.5551,4.95E-08
2-Mar,-2.64502,0.00847714
TESC,4.95186,1.07E-06
VPS26B,3.01185,0.00275465
AURKAIP1,-3.49904,0.000517216
STK3,-3.98703,7.90E-05
CCDC28B,3.00746,0.00279391
RAB33B,3.89583,0.000113964
ABHD11,-4.95016,1.08E-06
BICC1,-4.19518,3.33E-05
FAM126B,3.50457,0.000506886
CBX4,3.37667,0.000802542
CCDC171,2.63688,0.00867992
LHFPL2,-3.58252,0.000380457
NME9,4.38517,1.47E-05
RBM6,2.84321,0.00468568
LMCD1,-3.305,0.00103184
MYCBP2,4.62903,4.91E-06
RRP1B,4.05469,5.99E-05
CIRBP,4.62454,5.02E-06
RCHY1,3.10828,0.00201068
INTS7,4.50762,8.53E-06
MLXIP,2.94512,0.00340904
TRNP1,-3.90212,0.000111145
C21orf62-AS1,4.19891,3.28E-05
PTGDR,2.87259,0.00427904
CEP170B,-3.95564,8.97E-05
FAM177A1,-3.08076,0.00220151
DEPTOR,3.47025,0.000574201
POLD4,-4.20914,3.14E-05
TBL2,-3.61216,0.00034067
CCDC163,2.86871,0.00433083
MYL12B,-4.65651,4.33E-06
NBEAL1,-4.28756,2.25E-05
MLN,-4.07136,5.59E-05
MLF1,-3.01363,0.00273891
MAU2,2.77253,0.00581155
MCEE,2.99214,0.00293479
C1orf21,2.9876,0.00297784
LMAN2L,-2.98616,0.00299156
NDEL1,-2.66583,0.00797823
PARP15,3.04838,0.00244724
RPS11,3.75411,0.000198642
AP5S1,-3.26765,0.00117421
RSAD1,3.72647,0.000220945
TMA16,3.8818,0.000120501
ACSL3,-2.66694,0.00795235
BPTF,4.03848,6.40E-05
PTK2B,3.84524,0.000139237
FANCF,4.41088,1.31E-05
MYB,5.54389,5.26E-08
MYBL1,-3.04341,0.00248713
POGK,3.2458,0.00126571
ZSWIM5,2.86561,0.00437272
COQ2,-2.68204,0.00760809
ARHGEF16,-2.79411,0.00544433
ADRB2,-2.64675,0.0084347
GRK3,3.70212,0.000242517
GRK2,3.68476,0.000259098
LRRC8A,-2.58841,0.00997891
ABHD18,4.27984,2.32E-05
RPLP2,3.82089,0.000153216
PAQR6,3.26061,0.001203
CPXM1,3.3168,0.000990339
DEDD,2.9214,0.00367399
LST1,3.29692,0.00106121
SEMA3A,-2.86914,0.00432507
ACAP1,4.0335,6.54E-05
CD276,-3.6388,0.000308278
RRAS,-5.78365,1.44E-08
RPS27A,3.05746,0.00237596
LAPTM4A,-4.313,2.01E-05
CIB1,-3.07398,0.002251
TBC1D5,3.24611,0.00126437
SEMA3C,-4.73681,2.98E-06
SUMF1,-3.08192,0.0021931
PER2,3.39052,0.0007641
HAND2-AS1,3.17338,0.00161836
CALU,-2.93052,0.00356999
RNF113A,3.61442,0.0003378
SERPINB5,-3.11492,0.00196696
CCDC88C,3.41323,0.00070478
FBLIM1,-3.20607,0.00144921
ATG16L2,3.45683,0.000602722
CDC42EP1,-3.74503,0.000205728
PCBP3,3.70413,0.000240659
WDR76,3.51149,0.000494255
TBC1D8,-3.09906,0.00207285
THAP9,3.0547,0.00239741
GPAA1,-2.80747,0.00522758
ME1,-3.35424,0.00086863
HEBP1,-2.6121,0.0093236
ANO10,-2.96,0.00325195
FBXO17,-3.02463,0.00264328
CCNYL1,-4.61742,5.18E-06
RNPC3,3.08924,0.00214097
RPRD2,3.47785,0.000558614
KIAA0556,-2.6511,0.00832853
KIAA0922,2.84161,0.00470892
TRA2B,2.9558,0.00329556
SRSF7,2.99379,0.00291937
SRSF6,3.17042,0.00163455
USP21,2.59242,0.00986509
FGD6,-3.31919,0.000982091
RIOK2,2.69464,0.00733121
CIAO1,3.49136,0.000531866
KCNQ5,3.48884,0.000536761
EIF4ENIF1,3.27043,0.00116301
GFPT2,-2.62244,0.00904996
CCL28,-2.58395,0.0101068
RPRM,3.07861,0.0022171
SIX4,-2.89733,0.00396191
PRKAG2,-3.62398,0.000325923
TMEM108,2.62249,0.0090488
LOC100507507,-3.78157,0.000178605
THRB,-4.82454,1.97E-06
BCAS4,-3.98468,7.97E-05
LINC00528,4.92385,1.22E-06
ZCCHC8,3.73661,0.000212504
LSM14A,3.67878,0.000265047
RAI14,-4.2304,2.87E-05
G6PD,-3.31154,0.00100864
FZD2,-3.17453,0.00161209
RNF44,2.62971,0.00886177
PARK2,4.73455,3.01E-06
ZNF652,4.591,5.85E-06
RHOBTB3,-3.11598,0.0019601
BCAR1,-4.45582,1.08E-05
KIF1C,-2.79147,0.00548798
LOC100506107,2.71584,0.00688565
ERRFI1,-5.1353,4.33E-07
SLC22A4,-2.86488,0.00438261
TCF7L1,-3.88887,0.000117163
SYS1,-3.91771,0.000104437
ZC3H8,3.14351,0.00178866
GLIS3,-3.13368,0.0018482
ERICH1,4.41221,1.30E-05
LIPG,-2.74131,0.00638266
SLC2A10,-2.90818,0.00382962
KDM8,3.73223,0.000216108
GLTSCR1L,4.09202,5.14E-05
ZNF333,3.1309,0.00186535
CHRNA3,3.12808,0.00188296
PTCD3,4.3748,1.54E-05
CYFIP2,3.82438,0.000151131
SH2D1A,3.04639,0.00246314
PPFIA1,-3.46631,0.000582424
ENC1,-4.29487,2.18E-05
TTC13,3.98776,7.88E-05
GPX7,3.07322,0.00225658
GRB2,3.04841,0.002447
SPEN,3.02604,0.00263128
STK38L,3.34964,0.000882788
C11orf80,-3.00184,0.00284484
DAZAP1,2.78101,0.00566472
TRAV13-1,2.77533,0.00576262
RRAGD,2.99638,0.00289518
LINC00515,3.14982,0.00175132
TRAF5,3.28739,0.00109683
NXPH3,2.67105,0.00785735
ZHX1,3.11784,0.00194805
TRIAP1,3.30894,0.0010178
MEX3C,3.66971,0.000274323
RMND5A,3.11451,0.00196967
CPO,3.20598,0.00144964
SELM,-3.08441,0.00217527
RIPK4,-5.23402,2.63E-07
CERCAM,-3.10499,0.00203268
CFAP206,-2.61118,0.00934853
RUNX1T1,2.65617,0.00820645
ASB8,3.57347,0.000393452
SYT12,-3.20199,0.00146937
CD40,-3.18031,0.00158104
TP53INP1,4.94264,1.12E-06
GJB3,-3.12152,0.00192441
SMG7,2.97551,0.00309518
RYK,-2.65771,0.00816972
RXRA,-2.67264,0.00782093
TMEM106A,2.93644,0.00350395
ATOX1,-2.78938,0.00552287
CEP152,2.85781,0.00447947
LOC100505878,2.77065,0.00584455
ROGDI,-2.76469,0.0059504
UBE2QL1,3.56002,0.000413532
LOC730101,3.95288,9.07E-05
KRT38,2.63393,0.00875435
TMEM51,-4.49249,9.13E-06
PROX1,3.34445,0.000899039
CYB5R3,-2.74884,0.00624056
ATXN7L3B,4.35769,1.66E-05
EML6,3.0708,0.00227457
TTF1,2.82973,0.00488382
LETM1,4.08009,5.40E-05
NR2F2,-5.92439,6.57E-09
VPS37A,3.27349,0.00115078
B3GNT2,3.50429,0.000507403
TUFT1,-3.94222,9.47E-05
CXorf36,3.21416,0.00140994
PPM1D,4.97475,9.57E-07
CLIP4,-3.24885,0.00125255
SFTA1P,-4.56325,6.63E-06
ZNF283,-3.44911,0.000619707
PPFIBP1,-4.02955,6.64E-05
C1QTNF2,-2.77415,0.00578327
DISP3,2.60523,0.00950968
SHF,2.67126,0.00785248
PRSS8,-2.87859,0.00420017
CACUL1,-3.2549,0.00122681
THAP2,3.61028,0.000343071
PSMA8,4.02359,6.81E-05
WDR33,3.23034,0.0013344
LRRC25,3.35438,0.000868198
FRRS1L,4.20859,3.15E-05
PLCL2,4.44864,1.11E-05
ARHGEF9,3.35746,0.000858848
FOXB1,-3.22972,0.00133721
NUP210,5.02686,7.42E-07
STYK1,-3.99605,7.61E-05
SET,3.35741,0.000858999
TAS2R14,3.4408,0.000638522
ZNF112,-3.45174,0.000613878
FAM83H,-3.41305,0.000705211
LAMB3,-4.36245,1.62E-05
LAMB2,-5.0714,5.95E-07
LAMB1,-5.0379,7.02E-07
LAMA5,-3.12244,0.00191852
SRP72,2.69017,0.00742831
RAB37,4.47688,9.79E-06
ZDHHC7,-3.16993,0.0016372
TROVE2,2.82662,0.00493056
POMGNT1,-5.43868,9.16E-08
MAGEH1,2.95795,0.00327316
NSUN6,3.33692,0.000923078
PAN2,4.12324,4.51E-05
ALCAM,-3.14828,0.00176039
PKIA,3.42685,0.000671265
CBY1,-2.90317,0.00389025
CNFN,-2.67787,0.00770178
EIF3E,2.78603,0.0055793
INSR,3.39185,0.000760505
GABPA,3.75003,0.000201794
GABPB1,3.92147,0.000102879
DCP2,2.87709,0.00421979
TMEM189,-2.76549,0.00593614
LOC100507389,3.09447,0.00210444
ARHGAP12,-2.67068,0.00786581
LYRM7,3.38375,0.00078268
STARD13,-2.97664,0.00308399
CD247,3.26824,0.0011718
PJA1,-3.16891,0.00164283
RGAG4,2.75023,0.00621462
LOC100506388,3.22,0.00138222
ELMO1,5.04423,6.81E-07
DKK1,-3.79495,0.000169552
JPH4,2.72264,0.00674795
SCAI,3.58204,0.00038114
TTPAL,-3.12848,0.00188047
SLC2A4RG,-3.39898,0.000741473
ENY2,3.15551,0.00171833
C17orf47,2.81567,0.0050985
MLPH,-2.70132,0.00718801
TLE1,-4.19807,3.29E-05
ATP5B,3.50197,0.000511712
DUSP22,2.85646,0.00449819
ZNF518A,3.36392,0.000839498
CSGALNACT2,2.62734,0.0089227
TPM1,-5.14262,4.18E-07
TPM2,-2.81258,0.00514679
TPBG,-3.15349,0.00172999
TPD52L1,-3.79442,0.000169904
TPD52L2,-4.12271,4.52E-05
MLF2,-4.27215,2.40E-05
CLTB,-3.70133,0.00024325
MORN2,-2.9509,0.00334719
MCM3AP,4.38766,1.45E-05
JOSD2,-3.20342,0.00146229
CHGA,2.70745,0.00705901
FOXN3,4.24647,2.68E-05
CHGB,3.34163,0.000907953
XPO7,3.46612,0.000582833
ZNF292,3.39954,0.000739987
SAMD4A,-3.90464,0.000110035
MAST3,4.18186,3.53E-05
KDM6B,2.99372,0.00291999
RBM45,2.75536,0.00611972
KIFC2,-3.344,0.000900448
STAU1,-3.55554,0.000420437
RAD54L2,2.9899,0.00295601
DENND4B,3.3986,0.000742488
PHF8,3.32481,0.000963033
MYOF,-6.29596,7.75E-10
CAPN2,-3.61766,0.000333733
GPATCH8,3.18113,0.00157667
MAP4K3,-3.46802,0.000578839
TMEM35A,3.20337,0.00146251
SLC5A2,-3.60397,0.000351254
KLHL36,-4.0726,5.56E-05
ZNF488,-3.96978,8.47E-05
VWCE,3.25905,0.00120946
PXN,-5.79096,1.38E-08
XPOT,3.46573,0.000583657
TTC9B,2.82414,0.00496808
N4BP2L2-IT2,2.59486,0.00979667
SYCP2L,2.90333,0.00388822
SDE2,3.50371,0.000508476
HSD17B6,2.73139,0.00657457
C1orf87,2.8356,0.00479657
AIF1,2.91527,0.00374541
SDC3,-3.11114,0.00199177
MB,-3.26015,0.00120489
CATSPER2,3.18274,0.00156813
FAM53B,3.11867,0.00194272
MRVI1,2.77663,0.00574009
CADM4,-2.92935,0.0035832
GNA11,-4.02724,6.71E-05
GML,3.32978,0.000946436
GMFB,-3.94749,9.27E-05
EIF3I,-2.67734,0.00771386
ST8SIA4,4.06572,5.72E-05
S100A2,-5.61726,3.55E-08
S100A3,-2.65689,0.00818922
S100A6,-3.41159,0.000708901
SCN3B,2.83705,0.00477528
SART3,4.08812,5.22E-05
KNTC1,4.44309,1.14E-05
FLJ33360,2.78829,0.00554119
CRHR1-IT1,3.36576,0.000834069
FUT10,2.7369,0.00646733
IFNAR2,3.09862,0.00207585
PAXIP1,2.89994,0.00392969
CAV2,-5.17424,3.56E-07
CDC14A,3.14308,0.00179118
VPS9D1,-3.60626,0.000348263
RAB39A,3.459,0.000598005
SNX21,-4.36839,1.58E-05
TMED9,-3.92724,0.000100529
PKP3,-3.78142,0.000178712
NHS,-4.72309,3.18E-06
ISOC2,-2.80653,0.00524262
ABHD17B,3.83911,0.000142637
TRMT61A,-3.07069,0.00227539
BRIP1,3.59489,0.000363351
NAPB,3.5178,0.000482973
PTEN,3.78682,0.000175003
CLMN,-4.42601,1.23E-05
TMEM45A,-3.5501,0.000428959
SLC5A10,4.71251,3.34E-06
UACA,-4.79321,2.29E-06
ZC3H7A,3.1803,0.00158109
SLC35C2,-2.90814,0.00383014
ZBTB44,3.46288,0.00058969
TMEM43,-3.03711,0.00253861
COL12A1,-3.25875,0.00121069
MLC1,2.82464,0.00496049
ATP5A1,3.67858,0.000265248
FAM117B,3.26021,0.00120463
SIAH2,3.39103,0.000762729
DDX55,3.11074,0.00199438
AHR,-3.39576,0.000750021
SIAH1,2.68566,0.0075276
INIP,3.0848,0.00217247
NOG,-3.06898,0.00228814
PTGES,-3.77423,0.000183765
ZNF205,-4.03332,6.54E-05
ZMYM2,2.93068,0.00356815
S100A14,-2.79386,0.0054484
LCT,2.89991,0.00393005
LCP2,3.85354,0.000134756
LBR,4.00214,7.43E-05
HIST1H2AM,3.35272,0.00087329
TMEM179B,-3.0891,0.00214195
TNRC6C,4.29488,2.18E-05
G3BP2,3.75112,0.000200953
PRKD1,-2.77082,0.00584155
MIPOL1,-3.15421,0.00172582
ZFPL1,-3.92462,0.000101591
FEM1A,5.00311,8.33E-07
ELAC1,4.05019,6.10E-05
SLTM,3.96976,8.47E-05
JMJD8,-2.61132,0.00934476
LSAMP,2.77026,0.00585157
LSP1,3.58153,0.000381859
FAM84B,-3.71079,0.000234613
IRF4,3.58789,0.000372937
PSAT1,2.70042,0.00720714
MAK16,4.75917,2.68E-06
NLGN2,-3.76905,0.000187497
GAD2,2.93547,0.00351462
GABRR2,2.93439,0.00352664
ADAM1A,2.89821,0.00395103
ADGRG6,-3.90524,0.000109773
IL13RA1,-4.3993,1.38E-05
IL12RB1,4.52684,7.82E-06
PA2G4,3.76822,0.000188099
ASPH,-3.72937,0.000218494
CEACAM3,-2.77862,0.00570577
ITGB8,-3.64542,0.000300688
RNF145,-3.43285,0.000657008
BCL2L2,-3.8158,0.000156297
BCL2L1,-3.65069,0.000294779
ZNF430,2.69578,0.00730659
EDEM3,4.71193,3.35E-06
MAZ,3.58171,0.000381612
MS4A5,4.43932,1.16E-05
PIK3C2B,2.6201,0.00911119
ZNF709,2.70026,0.00721071
BMP8B,3.88927,0.000116977
MT4,-3.8296,0.00014807
SLC12A8,-3.17302,0.00162031
RPS6KL1,2.94958,0.00336124
HMGN4,4.12167,4.54E-05
C11orf96,3.53419,0.000454811
HERC1,5.01134,8.00E-07
RBMX,4.92277,1.23E-06
TSPAN7,3.20346,0.00146207
TSPAN6,-4.94495,1.11E-06
TSPAN4,-3.69103,0.000252988
AGTRAP,-3.69071,0.0002533
ZNF407,3.61235,0.000340433
FAM46B,-4.58287,6.07E-06
SLC39A3,3.06253,0.00233696
RHOD,-3.51052,0.000495993
ANGEL2,5.01618,7.81E-07
SPZ1,3.17374,0.00161637
CSRP1,-2.7674,0.00590215
CSRP2,-3.63814,0.00030904
PPP1R16A,-2.69535,0.00731595
MIR22HG,-4.19601,3.32E-05
PTPRO,2.94221,0.0034406
ARHGAP19,3.77268,0.000184873
TCF12,3.1191,0.00193993
MFAP4,3.48733,0.00053972
MET,-5.09827,5.21E-07
PRKCZ,-3.43622,0.000649095
DDX60L,-3.1163,0.00195801
TSEN34,-6.68515,7.42E-11
ZNF830,4.12784,4.42E-05
ICE2,2.96218,0.00322949
ANXA11,-2.6285,0.00889305
ARHGEF17,-3.69339,0.000250729
POLI,2.91314,0.0037706
MBTPS2,-2.66893,0.0079062
UBR5,3.36758,0.00082872
LOC100507487,-2.75959,0.00604242
TNS3,-4.17535,3.62E-05
TUBA1C,-3.24433,0.00127209
SMURF2,-3.73135,0.000216841
COMMD3,3.21843,0.00138963
KLHL20,2.79285,0.00546518
PDCD4,3.76317,0.00019181
CRBN,2.96826,0.00316755
TULP3,-3.97031,8.45E-05
S1PR4,4.33245,1.85E-05
TCF7L2,-4.1513,4.01E-05
PINX1,2.69447,0.00733483
FOXD1,-4.16004,3.87E-05
FOXC1,-3.14608,0.00177334
FOXF2,-3.1273,0.00188786
PWAR5,3.36712,0.000830077
TCERG1,2.71175,0.00696971
HYAL2,-2.87059,0.00430574
SCGB1D1,2.75053,0.00620887
CAMKK2,5.3021,1.86E-07
P2RX1,3.78936,0.000173278
SALL1,-2.75917,0.00605004
DNAJC12,2.78413,0.00561149
SAFB,4.18642,3.46E-05
VPS52,-3.13842,0.00181925
YLPM1,2.78031,0.00567665
FGFR1OP2,3.01896,0.00269218
EPC2,3.33614,0.000925602
PRPF31,-3.22938,0.00133877
VAV1,3.04139,0.00250357
KIF1BP,-2.65166,0.00831496
PERM1,-2.91043,0.00380277
SIX5,-3.99124,7.77E-05
LAPTM5,2.87767,0.00421211
RNF122,3.42858,0.000667118
NHEJ1,3.38122,0.00078971
ATXN7L3,2.60547,0.00950318
EPB41L1,-2.88219,0.00415335
EPB41,5.61871,3.52E-08
PFDN1,-3.14674,0.00176945
ATP8B1,-3.80937,0.000160276
PFDN5,2.92472,0.00363577
RILPL1,-4.68068,3.87E-06
PFKFB3,-3.46499,0.000585223
ZNF317,2.66269,0.0080519
PRDM1,3.68119,0.000262633
CEP250,-3.40379,0.000728893
YBEY,2.87545,0.00424127
C21orf58,2.93205,0.00355274
ARL11,2.62171,0.00906918
CARMIL2,2.62494,0.00898481
NPHP1,-4.33535,1.83E-05
ANKLE1,3.74076,0.000209137
USP37,2.7065,0.00707879
MBOAT2,-3.15036,0.00174821
SEPT7P2,3.08646,0.00216069
DLEU2,2.95099,0.00334629
TMEM40,-3.9191,0.000103861
BRD1,3.81543,0.00015652
SH3GL1,-3.76532,0.000190225
ANKRD1,-3.40638,0.000722206
HIVEP3,-3.2876,0.00109602
STAU2,3.78926,0.00017335
CAV1,-5.04762,6.70E-07
ZNF185,-3.87844,0.000122119
MYEF2,3.11856,0.0019434
IRX4,-2.81327,0.00513599
LGALS3BP,-4.15678,3.92E-05
N4BP2,3.62546,0.000324119
EBLN2,3.97324,8.35E-05
LECT2,2.63683,0.00868095
GIMAP1,3.31177,0.00100783
KRTAP13-1,3.24161,0.00128399
CD244,3.50775,0.000501046
CEP44,5.68507,2.46E-08
PARVA,-5.26242,2.28E-07
SCARA3,-4.20476,3.20E-05
PARD3B,-3.03754,0.00253502
TRIM6,-4.15486,3.95E-05
OR5K1,2.91329,0.00376882
LYL1,2.72719,0.00665728
LY75,2.77317,0.00580031
OR7A17,3.09774,0.00208188
PTPN14,-5.80948,1.25E-08
PTPN11,2.6077,0.00944243
PTPN12,-4.15131,4.01E-05
PTPRC,3.25467,0.00122778
FOXK2,2.95981,0.0032539
IL18,-4.2979,2.15E-05
ILF3,3.16861,0.00164449
UBA5,4.45825,1.06E-05
AGAP2,3.16029,0.00169105
NR2C2,2.63156,0.00881454
CCDC148,-3.47463,0.000565165
CDC25A,2.89864,0.00394571
NUP133,3.58511,0.00037682
GPRC5C,-2.76502,0.00594461
YWHAB,-3.75799,0.00019569
ARID1B,4.41303,1.30E-05
CD37,3.42319,0.000680138
KIDINS220,3.09553,0.00209708
ARSJ,-4.68372,3.82E-06
ZCCHC3,4.62074,5.10E-06
SCNN1A,-2.7446,0.00632026
FLJ23867,-3.26624,0.0011799
SCNN1B,3.69847,0.000245919
TAB1,2.94146,0.00344879
BAIAP2,-4.25142,2.62E-05
TSPAN1,-3.22652,0.0013519
PDS5B,4.99506,8.67E-07
RNF38,3.12175,0.00192293
MYT1L,2.97816,0.00306911
LYSMD1,2.83945,0.00474023
TNFAIP1,-4.39283,1.42E-05
TNFAIP2,-3.25556,0.00122405
MON2,3.13023,0.00186956
KBTBD8,3.80305,0.000164277
DHX15,2.88329,0.00413915
CCND1,-4.09919,4.98E-05
BCKDHB,3.26955,0.00116655
BCL2,3.97743,8.21E-05
ICAM2,3.86449,0.000129054
ICA1,3.10146,0.0020565
MAP3K1,2.65628,0.00820394
CDT1,3.21818,0.00139084
PRKCB,3.1112,0.00199132
ZNF280C,2.88382,0.0041324
SERPINB7,-3.00926,0.00277774
CHAF1A,3.04443,0.0024789
FAM8A1,3.44627,0.000626089
ANAPC5,4.85903,1.67E-06
TAOK3,2.68934,0.00744647
CNOT10,2.965,0.00320059
TMEM158,-3.61918,0.00033184
CCDC28A,3.72064,0.000225932
IFFO1,3.19633,0.00149779
GMFG,4.93459,1.16E-06
GPR161,-3.87796,0.00012235
TARDBP,3.50271,0.000510342
ZNF276,2.84218,0.00470057
ZKSCAN8,3.75936,0.000194657
SPSB2,-3.5058,0.000504621
LONRF1,3.79026,0.000172675
SLC25A40,2.64009,0.00859938
BAIAP2L1,-3.87631,0.000123156
GNG12,-5.25013,2.43E-07
KLHL7,-2.84066,0.00472266
EHD1,-3.87746,0.000122595
GPR75,3.82477,0.0001509
BAG3,-3.92021,0.0001034
PDXP,3.04198,0.00249873
FBXO41,4.58139,6.11E-06
TRPM7,4.26009,2.53E-05
SWT1,3.79745,0.000167906
EXOC6,2.62916,0.00887588
ERCC6L,-2.91128,0.00379266
LOC100506406,2.58604,0.0100467
RAB18,-2.69121,0.0074057
RPIA,3.03986,0.00251604
TET3,4.6126,5.30E-06
ZNF669,2.69725,0.00727504
TREML2,3.26141,0.00119966
MEPE,3.31691,0.000989929
NT5M,3.02049,0.00267894
CTCF,4.02949,6.64E-05
FARS2,2.58411,0.0101021
EN1,-2.78047,0.00567396
CDKN2AIP,3.05505,0.00239471
CTTN,-4.52299,7.96E-06
CGRRF1,-3.58306,0.000379693
EMD,-3.06428,0.0023236
EMP2,-3.29653,0.00106265
EMP1,-4.57754,6.22E-06
ANO1,-3.39142,0.000761651
SLC24A4,2.58716,0.0100146
GPN2,-2.66702,0.0079505
PDP1,-3.62703,0.000322215
TOR2A,3.79223,0.000171356
MAT2B,2.64417,0.00849819
ORMDL2,-3.58895,0.000371474
CECR6,4.20152,3.24E-05
MTMR4,3.36032,0.00085022
BEAN1,-2.85329,0.00454245
CMTM4,-3.67188,0.00027208
TMC4,-2.63804,0.00865074
ZNF592,3.03807,0.00253067
NUFIP2,3.1865,0.0015484
MED7,-2.72461,0.00670845
MIB1,3.99569,7.63E-05
VMP1,-3.64665,0.000299302
ABCD3,-3.13778,0.00182316
VEPH1,-2.90464,0.0038723
